Table	Non_unique	Key_name	Seq_in_index	Column_name	Collation	Cardinality	Sub_part	Packed	Null	Index_type	Comment	Index_comment	Visible	Expression
users	0	PRIMARY	1	id	A	16	NULL	NULL		BTREE			YES	NULL
users	0	email	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_2	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_2	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_3	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_3	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_4	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_4	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_5	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_5	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_6	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_6	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_7	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_7	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_8	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_8	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_9	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_9	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_10	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_10	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_11	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_11	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_12	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_12	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_13	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_13	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_14	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_14	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_15	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_15	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_16	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_16	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_17	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_17	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_18	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_18	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_19	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_19	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_20	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_20	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_21	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_21	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_22	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_22	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_23	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_23	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_24	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_24	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_25	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_25	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_26	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_26	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_27	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_27	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_28	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_28	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_29	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_29	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_30	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_30	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_31	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	phone_31	1	phone	A	16	NULL	NULL	YES	BTREE			YES	NULL
users	0	email_32	1	email	A	16	NULL	NULL	YES	BTREE			YES	NULL
