t=2026-05-14T15:23:24+0800 lvl=info msg="no configuration paths supplied"
t=2026-05-14T15:23:24+0800 lvl=info msg="using configuration at default config path" path="/Users/aagungwwahyu/Library/Application Support/ngrok/ngrok.yml"
t=2026-05-14T15:23:24+0800 lvl=info msg="open config file" path="/Users/aagungwwahyu/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-05-14T15:23:24+0800 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-14T15:23:24+0800 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-14T15:23:25+0800 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-14T15:23:25+0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-14T15:23:25+0800 lvl=info msg="update available" obj=updater
t=2026-05-14T15:23:26+0800 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5000 url=https://0fb0-2405-8180-a01-4a61-952d-21b9-c50-1bbd.ngrok-free.app
t=2026-05-14T15:23:56+0800 lvl=warn msg="failed to open private leg" id=8c73d5dd1ce2 privaddr=localhost:5000 err="dial tcp [::1]:5000: connect: connection refused"
t=2026-05-14T15:24:07+0800 lvl=warn msg="failed to open private leg" id=40b0847c20ff privaddr=localhost:5000 err="dial tcp [::1]:5000: connect: connection refused"
t=2026-05-14T15:26:59+0800 lvl=info msg="join connections" obj=join id=ab4207b762e4 l=[::1]:5000 r=[2405:8180:a01:4a61:952d:21b9:c50:1bbd]:65322
t=2026-05-14T15:27:08+0800 lvl=info msg="join connections" obj=join id=686a650f937d l=[::1]:5000 r=[2405:8180:a01:4a61:952d:21b9:c50:1bbd]:65322
t=2026-05-14T15:27:37+0800 lvl=info msg="join connections" obj=join id=f9dd4c97168d l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:60793
t=2026-05-14T15:27:37+0800 lvl=info msg="join connections" obj=join id=4a9ee4d67657 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:60793
t=2026-05-14T15:27:37+0800 lvl=info msg="join connections" obj=join id=b8ca23b65cc1 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:60793
t=2026-05-14T15:27:37+0800 lvl=info msg="join connections" obj=join id=5099cca9cafa l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:60793
t=2026-05-14T15:27:37+0800 lvl=info msg="join connections" obj=join id=ac72e88eaf61 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:60793
t=2026-05-14T15:28:02+0800 lvl=info msg="join connections" obj=join id=10495938b78f l=[::1]:5000 r=147.139.209.91:55983
t=2026-05-14T15:28:25+0800 lvl=info msg="join connections" obj=join id=7c32ff0c39b8 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:60793
t=2026-05-14T15:28:25+0800 lvl=info msg="join connections" obj=join id=2c593e1bca82 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:60793
t=2026-05-14T15:28:25+0800 lvl=info msg="join connections" obj=join id=59cc372bd122 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:60793
t=2026-05-14T15:28:25+0800 lvl=info msg="join connections" obj=join id=6d6fd6f9265f l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:60793
t=2026-05-14T15:28:37+0800 lvl=info msg="join connections" obj=join id=d44f33f8433c l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:60793
t=2026-05-14T15:28:41+0800 lvl=info msg="join connections" obj=join id=a23c4832cf19 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:60793
